gameID,genre
44800,Platform
7663,Platform
7663,Adventure
92625,NA
44715,Sport
613,Shooter
613,Real Time Strategy (RTS)
613,Simulator
613,Strategy
131154,NA
56515,Adventure
56515,Visual Novel
125676,NA
47322,NA
218385,Sport
83247,NA
123332,NA
9279,Real Time Strategy (RTS)
9279,Role-playing (RPG)
9279,Strategy
9279,Indie
44978,Racing
196855,Role-playing (RPG)
196855,Strategy
47437,Shooter
47356,Sport
4217,Racing
68436,Strategy
68436,Indie
51043,Sport
130480,NA
4952,Racing
74908,Shooter
74908,Arcade
20723,Sport
60780,NA
51815,Real Time Strategy (RTS)
51815,Strategy
171769,Adventure
20242,NA
12796,Puzzle
12796,Adventure
72685,Role-playing (RPG)
72685,Adventure
72685,Visual Novel
23111,Shooter
45092,NA
736,Racing
736,Simulator
736,Sport
3901,Racing
5781,Shooter
5781,Tactical
45304,Puzzle
43857,Sport
47843,Puzzle
38475,Fighting
26272,Puzzle
26272,Strategy
26272,Tactical
51016,Shooter
51105,Simulator
19435,Strategy
19435,Quiz/Trivia
19435,Card & Board Game
6486,Platform
6974,Adventure
6974,Visual Novel
145337,NA
7510,Real Time Strategy (RTS)
7510,Simulator
7510,Strategy
49400,NA
64320,Visual Novel
47713,Puzzle
50919,Point-and-click
50919,Real Time Strategy (RTS)
50919,Strategy
6587,Shooter
316,Shooter
316,Strategy
316,Tactical
19882,Racing
19882,Simulator
66540,Racing
36746,Fighting
36746,Racing
36746,Arcade
44562,Fighting
215,Role-playing (RPG)
1491,Simulator
1491,Strategy
23390,Shooter
2154,Simulator
6324,Platform
6324,Racing
6324,Adventure
14368,Shooter
14368,Simulator
127796,Adventure
127796,Visual Novel
93200,Shooter
93200,Racing
93200,Sport
43553,Sport
66613,NA
3859,Shooter
44877,Platform
234,Role-playing (RPG)
234,Strategy
234,Adventure
206785,NA
695,Simulator
5718,Simulator
174,Real Time Strategy (RTS)
174,Strategy
85430,Simulator
19884,Puzzle
19884,Role-playing (RPG)
218955,Visual Novel
196701,Card & Board Game
21532,Strategy
3700,Real Time Strategy (RTS)
3700,Simulator
3700,Strategy
12495,Adventure
9926,Real Time Strategy (RTS)
9926,Sport
9926,Strategy
49454,NA
78635,NA
12916,Shooter
12916,Simulator
12916,Arcade
28397,Shooter
7124,Hack and slash/Beat 'em up
7124,Adventure
8325,Puzzle
3628,Fighting
3628,Arcade
8394,Point-and-click
8394,Strategy
8394,Adventure
349,Shooter
24234,Simulator
24234,Strategy
26915,Role-playing (RPG)
26915,Hack and slash/Beat 'em up
