kglID,gameID,Title,Year,Publisher,Main_Genre
311,NA,Guitar Hero: World Tour,2008,Activision,Misc
312,7316,Gran Turismo 6,2013,Sony Computer Entertainment,Racing
313,1528,Jak and Daxter: The Precursor Legacy,2001,Sony Computer Entertainment,Platform
314,NA,Pokemon Snap,1999,Nintendo,Simulation
315,3133,FIFA Soccer 10,2009,Electronic Arts,Sports
316,220954,Pro Evolution Soccer 2008,2007,Konami Digital Entertainment,Sports
317,974,Resident Evil 4,2005,Capcom,Action
318,2114,Tom Clancy's The Division,2016,Ubisoft,Shooter
319,141,Star Wars: Battlefront,2004,LucasArts,Shooter
320,NA,Doom II: Hell on Earth,1994,Virgin Interactive,Shooter
321,2842,The Simpsons: Road Rage,2001,Electronic Arts,Racing
322,3062,Cooking Mama 2: Dinner With Friends,2007,505 Games,Simulation
323,2485,Luigi's Mansion,2001,Nintendo,Action
324,142,Star Wars: Battlefront II,2005,LucasArts,Shooter
325,6443,WWF SmackDown!,2000,THQ,Fighting
326,7901,Croc: Legend of the Gobbos,1997,Fox Interactive,Platform
327,3263,Grand Theft Auto: Liberty City Stories,2006,Take-Two Interactive,Action
328,49105,The Getaway,2002,Sony Computer Entertainment,Action
329,1157,Tomb Raider III: Adventures of Lara Croft,1997,Eidos Interactive,Action
330,1643,James Bond 007: Agent Under Fire,2001,Electronic Arts,Shooter
331,2681,LEGO Star Wars: The Video Game,2005,Eidos Interactive,Action
332,2792,Rugrats in Paris: The Movie,2000,THQ,Action
333,1577,Spyro 2: Ripto's Rage!,1999,Sony Computer Entertainment,Platform
334,122,Left 4 Dead,2008,Electronic Arts,Shooter
335,1094,Donkey Kong Country 3: Dixie Kong's Double Trouble!,1996,Nintendo,Platform
336,NA,Assassin's Creed: Brotherhood,2010,Ubisoft,Action
337,214458,Kung Fu,1985,Nintendo,Action
338,18597,Clubhouse Games,2006,Nintendo,Misc
339,3136,FIFA Soccer 2004,2004,Electronic Arts,Sports
