gameID,ratingOrg,rating,ageAbove
18787,PEGI,Three,3
18787,ESRB,E10,10
18797,PEGI,Twelve,12
18797,ESRB,T,13
18809,ESRB,E,6
18812,ESRB,T,13
18812,PEGI,Sixteen,16
18814,PEGI,Twelve,12
18814,ESRB,T,13
18815,ESRB,E10,10
18815,PEGI,Twelve,12
18819,PEGI,Three,3
18819,ESRB,E,6
18819,CERO,CERO_A,3
18840,ESRB,T,13
18863,PEGI,Twelve,12
18863,ESRB,T,13
18864,PEGI,Twelve,12
18864,CERO,CERO_C,15
18864,ESRB,M,17
18865,ESRB,T,13
18905,ESRB,T,13
18905,PEGI,Sixteen,16
18905,CERO,CERO_C,15
18941,ESRB,T,13
18943,ESRB,T,13
18944,ESRB,E,6
18953,ESRB,T,13
18953,CERO,CERO_A,3
18953,PEGI,Twelve,12
18982,ESRB,T,13
18993,ESRB,E,6
18993,PEGI,Three,3
19006,ESRB,E10,10
19006,PEGI,Seven,7
19007,ESRB,T,13
19007,PEGI,Twelve,12
19071,ESRB,T,13
19072,ESRB,T,13
19073,ESRB,T,13
19090,ESRB,T,13
19092,ESRB,E10,10
19092,PEGI,Twelve,12
19099,ESRB,T,13
19099,PEGI,Sixteen,16
19099,CERO,CERO_B,12
19101,PEGI,Twelve,12
19101,ESRB,T,13
19101,CERO,CERO_A,3
19103,ESRB,T,13
19103,CLASS_IND,CLASS_IND_Twelve,12
19103,CERO,CERO_A,3
19107,PEGI,Three,3
19107,ESRB,E,6
19111,ESRB,E,6
19111,PEGI,Three,3
19114,ESRB,E,6
19114,PEGI,Seven,7
19114,CERO,CERO_A,3
19114,USK,USK_12,12
19131,ESRB,T,13
19131,PEGI,Twelve,12
19156,ESRB,E,6
19159,ESRB,T,13
19160,ESRB,T,13
19163,ESRB,T,13
19163,PEGI,Twelve,12
19165,ESRB,T,13
19184,ESRB,T,13
19195,ESRB,T,13
19202,PEGI,Twelve,12
19202,ESRB,T,13
19202,GRAC,GRAC_Fifteen,15
19212,ESRB,E,6
19218,ESRB,E,6
19231,ESRB,E,6
19248,ESRB,E,6
19251,ESRB,T,13
19251,PEGI,Sixteen,16
19252,ESRB,T,13
19253,PEGI,Three,3
19253,ESRB,E,6
19254,CERO,CERO_A,3
19254,ESRB,E10,10
19256,ESRB,T,13
19256,PEGI,Sixteen,16
19256,CERO,CERO_B,12
19258,PEGI,Three,3
19258,ESRB,E,6
19258,CLASS_IND,CLASS_IND_Ten,10
19260,ESRB,E,6
19261,ESRB,E,6
19261,GRAC,GRAC_Twelve,12
19262,ESRB,E,6
19262,GRAC,GRAC_Twelve,12
19266,ESRB,M,17
19267,PEGI,Twelve,12
19267,ESRB,T,13
19287,ESRB,M,17
19288,ESRB,M,17
19306,ESRB,E,6
19306,PEGI,Three,3
19308,CERO,CERO_A,3
19308,ESRB,T,13
19308,PEGI,Twelve,12
19308,USK,USK_18,18
19308,ACB,ACB_MA15,15
19309,ESRB,E10,10
19309,PEGI,Twelve,12
19309,CERO,CERO_A,3
19309,USK,USK_12,12
19309,CLASS_IND,CLASS_IND_Twelve,12
19309,ACB,ACB_M,12
19310,CERO,CERO_A,3
19310,GRAC,GRAC_Fifteen,15
19310,ESRB,T,13
19310,PEGI,Twelve,12
19310,USK,USK_12,12
19310,CLASS_IND,CLASS_IND_Fourteen,14
19310,ACB,ACB_M,12
19311,CERO,CERO_A,3
19311,ESRB,T,13
19311,PEGI,Twelve,12
19311,USK,USK_12,12
19311,GRAC,GRAC_Fifteen,15
19311,CLASS_IND,CLASS_IND_Fourteen,14
19311,ACB,ACB_M,12
19318,ESRB,E,6
19318,PEGI,Three,3
19340,ESRB,E,6
19363,ESRB,E,6
19370,ESRB,E,6
19399,ESRB,M,17
19405,ESRB,E,6
19405,CERO,CERO_A,3
19410,PEGI,Twelve,12
19410,ESRB,T,13
19412,ESRB,T,13
19413,PEGI,Twelve,12
19413,ESRB,T,13
19414,ESRB,T,13
19418,ESRB,T,13
19420,ESRB,T,13
19421,ESRB,E,6
19424,ESRB,T,13
19428,ESRB,T,13
19430,ESRB,T,13
19431,ESRB,T,13
19435,ESRB,E,6
19435,PEGI,Three,3
19459,PEGI,Three,3
19459,ESRB,E,6
19459,CERO,CERO_A,3
19463,ESRB,E,6
19464,ESRB,E10,10
19464,PEGI,Twelve,12
19468,ESRB,T,13
19531,ESRB,M,17
19531,CERO,CERO_Z,18
19531,PEGI,Eighteen,18
19531,USK,USK_18,18
19531,CLASS_IND,CLASS_IND_Sixteen,16
19531,ACB,ACB_R18,18
19536,ESRB,T,13
19539,PEGI,Three,3
19539,ESRB,E,6
19539,CERO,CERO_B,12
19560,ESRB,M,17
19560,PEGI,Eighteen,18
19560,USK,GRAC_ALL,0
19560,ACB,ACB_R18,18
19560,CERO,CERO_Z,18
19560,CLASS_IND,ACB_G,3
19591,PEGI,Three,3
19618,ESRB,T,13
19619,PEGI,Twelve,12
19619,ESRB,T,13
19621,ESRB,T,13
19621,PEGI,Twelve,12
19622,ESRB,T,13
19625,ESRB,T,13
19626,ESRB,T,13
19629,ESRB,T,13
19631,ESRB,T,13
19634,ESRB,T,13
19634,PEGI,Twelve,12
19635,ESRB,T,13
19635,PEGI,Twelve,12
19635,CERO,CERO_A,3
19640,ESRB,T,13
19645,ESRB,T,13
19645,CERO,CERO_B,12
19649,ESRB,T,13
19649,PEGI,Twelve,12
19649,CERO,CERO_B,12
