ageID,ratingOrgID,ratingID,ratingOrg,rating,ageAbove
82566,3,13,CERO,CERO_A,3
82569,1,10,ESRB,T,13
82570,1,9,ESRB,E10,10
82571,3,13,CERO,CERO_A,3
82578,3,13,CERO,CERO_A,3
82579,3,13,CERO,CERO_A,3
82582,1,8,ESRB,E,6
82584,2,2,PEGI,Seven,7
82590,1,9,ESRB,E10,10
82591,1,8,ESRB,E,6
82592,1,8,ESRB,E,6
82593,1,8,ESRB,E,6
82603,3,13,CERO,CERO_A,3
82604,3,13,CERO,CERO_A,3
82605,3,13,CERO,CERO_A,3
82608,3,13,CERO,CERO_A,3
82617,3,13,CERO,CERO_A,3
82620,3,13,CERO,CERO_A,3
82624,3,13,CERO,CERO_A,3
82631,3,13,CERO,CERO_A,3
82634,3,13,CERO,CERO_A,3
82640,3,13,CERO,CERO_A,3
82641,3,13,CERO,CERO_A,3
82649,3,13,CERO,CERO_A,3
82652,3,13,CERO,CERO_A,3
82653,6,28,CLASS_IND,CLASS_IND_Ten,10
82656,3,13,CERO,CERO_A,3
82659,3,13,CERO,CERO_A,3
82662,3,13,CERO,CERO_A,3
82663,3,13,CERO,CERO_A,3
82665,3,13,CERO,CERO_A,3
82667,3,13,CERO,CERO_A,3
82676,3,13,CERO,CERO_A,3
82686,3,13,CERO,CERO_A,3
82691,3,13,CERO,CERO_A,3
82692,3,13,CERO,CERO_A,3
82697,3,13,CERO,CERO_A,3
82708,2,3,PEGI,Twelve,12
82734,1,8,ESRB,E,6
82818,3,13,CERO,CERO_A,3
82819,1,8,ESRB,E,6
82821,3,13,CERO,CERO_A,3
82838,3,13,CERO,CERO_A,3
82840,3,13,CERO,CERO_A,3
82841,3,13,CERO,CERO_A,3
82846,3,13,CERO,CERO_A,3
82850,3,13,CERO,CERO_A,3
82851,3,13,CERO,CERO_A,3
82855,3,13,CERO,CERO_A,3
82856,3,13,CERO,CERO_A,3
82857,3,13,CERO,CERO_A,3
82858,3,13,CERO,CERO_A,3
82861,3,13,CERO,CERO_A,3
82862,3,13,CERO,CERO_A,3
82864,3,13,CERO,CERO_A,3
82898,3,14,CERO,CERO_B,12
82926,3,13,CERO,CERO_A,3
82976,3,13,CERO,CERO_A,3
83041,4,22,USK,GRAC_ALL,0
83042,5,26,GRAC,GRAC_TESTING,NA
83043,6,32,CLASS_IND,CLASS_IND_Eighteen,18
83044,7,37,ACB,ACB_R18,18
83047,4,22,USK,GRAC_ALL,0
83048,5,26,GRAC,GRAC_TESTING,NA
83049,6,31,CLASS_IND,CLASS_IND_Sixteen,16
83050,7,37,ACB,ACB_R18,18
83051,2,5,PEGI,Eighteen,18
83052,5,26,GRAC,GRAC_TESTING,NA
83053,6,33,CLASS_IND,ACB_G,3
83054,7,37,ACB,ACB_R18,18
83056,3,15,CERO,CERO_C,15
83057,4,21,USK,USK_18,18
83058,6,33,CLASS_IND,ACB_G,3
83059,7,36,ACB,ACB_MA15,15
83065,2,2,PEGI,Seven,7
83066,1,8,ESRB,E,6
83227,1,10,ESRB,T,13
83274,5,26,GRAC,GRAC_TESTING,NA
83330,5,24,GRAC,GRAC_Fifteen,15
83369,5,26,GRAC,GRAC_TESTING,NA
83379,1,8,ESRB,E,6
83442,3,13,CERO,CERO_A,3
83446,1,8,ESRB,E,6
83500,3,13,CERO,CERO_A,3
83521,2,3,PEGI,Twelve,12
83566,6,32,CLASS_IND,CLASS_IND_Eighteen,18
83567,7,38,ACB,ACB_RC,18
83641,1,9,ESRB,E10,10
83763,5,23,GRAC,GRAC_Twelve,12
83764,5,24,GRAC,GRAC_Fifteen,15
83776,1,10,ESRB,T,13
83805,5,24,GRAC,GRAC_Fifteen,15
83807,5,24,GRAC,GRAC_Fifteen,15
83965,1,10,ESRB,T,13
84010,2,2,PEGI,Seven,7
84043,1,10,ESRB,T,13
84283,1,10,ESRB,T,13
84424,4,18,USK,USK_0,0
84490,1,11,ESRB,M,17
84528,1,9,ESRB,E10,10
84590,1,10,ESRB,T,13
84655,1,9,ESRB,E10,10
84745,1,10,ESRB,T,13
84824,1,10,ESRB,T,13
84827,1,9,ESRB,E10,10
84908,1,10,ESRB,T,13
84911,1,8,ESRB,E,6
84933,3,13,CERO,CERO_A,3
84934,7,34,ACB,ACB_PG,6
84944,3,13,CERO,CERO_A,3
84945,4,19,USK,USK_6,6
85121,1,9,ESRB,E10,10
85134,1,10,ESRB,T,13
85193,1,8,ESRB,E,6
85210,1,9,ESRB,E10,10
85236,1,8,ESRB,E,6
85281,1,10,ESRB,T,13
85325,1,8,ESRB,E,6
85355,1,9,ESRB,E10,10
85443,1,9,ESRB,E10,10
85476,1,8,ESRB,E,6
85524,1,8,ESRB,E,6
85583,1,10,ESRB,T,13
85603,1,10,ESRB,T,13
85965,3,13,CERO,CERO_A,3
85966,4,18,USK,USK_0,0
85967,7,34,ACB,ACB_PG,6
86606,1,8,ESRB,E,6
86607,2,3,PEGI,Twelve,12
86608,4,19,USK,USK_6,6
86609,7,34,ACB,ACB_PG,6
86684,2,3,PEGI,Twelve,12
86698,2,2,PEGI,Seven,7
86701,2,3,PEGI,Twelve,12
86718,1,11,ESRB,M,17
86774,1,10,ESRB,T,13
86812,1,10,ESRB,T,13
86882,1,9,ESRB,E10,10
86936,3,13,CERO,CERO_A,3
87035,1,8,ESRB,E,6
87055,2,2,PEGI,Seven,7
87073,1,8,ESRB,E,6
87106,3,13,CERO,CERO_A,3
87107,4,18,USK,USK_0,0
87108,5,23,GRAC,GRAC_Twelve,12
87110,7,34,ACB,ACB_PG,6
87111,3,13,CERO,CERO_A,3
87118,1,9,ESRB,E10,10
87119,4,20,USK,USK_12,12
87120,5,23,GRAC,GRAC_Twelve,12
